CHSA18_Code,CHSA18_Name,C_ADR_7day,C_ADR_8_14day,C_ADR_7day_change,7d_positivity_all,7d_positivity_public,D1_12_coverage,D1_12_17_coverage,D1_18_coverage,D1_18_49_coverage,D1_50_coverage,D2_12_coverage,D2_12_17_coverage,D2_18_coverage,D2_18_49_coverage,D2_50_coverage
2334,Panorama,5.0,8.0,-3.0,3.0,4.0,93.0,89.0,94.0,93.0,95.0,85.0,78.0,86.0,83.0,91.0
2335,East Newton,5.0,6.0,-1.0,3.0,4.0,94.0,84.0,95.0,95.0,94.0,84.0,72.0,85.0,82.0,90.0
2336,Fleetwood,7.0,8.0,-1.0,4.0,6.0,92.0,86.0,92.0,92.0,92.0,84.0,76.0,85.0,82.0,89.0
2337,Guildford,7.0,13.0,-6.0,4.0,6.0,86.0,80.0,87.0,86.0,88.0,79.0,69.0,80.0,76.0,84.0
2338,West Newton,3.0,5.0,-2.0,2.0,3.0,95.0,83.0,96.0,96.0,94.0,83.0,68.0,85.0,82.0,90.0
2341,South Surrey,7.0,8.0,-1.0,3.0,4.0,88.0,86.0,88.0,86.0,90.0,83.0,76.0,83.0,78.0,87.0
2342,White Rock,10.0,6.0,4.0,4.0,6.0,86.0,79.0,86.0,80.0,89.0,80.0,68.0,81.0,70.0,86.0
3111,Richmond City Centre,4.0,3.0,1.0,2.0,7.0,92.0,88.0,92.0,99.0,85.0,84.0,78.0,85.0,89.0,80.0
3112,Blundell,1.0,3.0,-2.0,1.0,3.0,84.0,89.0,84.0,84.0,84.0,80.0,80.0,80.0,77.0,81.0
3113,Broadmoor,2.0,3.0,-1.0,1.0,2.0,84.0,86.0,84.0,85.0,84.0,79.0,78.0,79.0,78.0,81.0
3114,Thompson/Seafair,3.0,4.0,-1.0,2.0,4.0,86.0,87.0,86.0,86.0,86.0,81.0,80.0,82.0,79.0,83.0
3115,Steveston,7.0,5.0,2.0,5.0,8.0,90.0,92.0,90.0,88.0,91.0,86.0,86.0,86.0,83.0,89.0
3116,East and West Cambie/Bridgeport,5.0,5.0,0.0,3.0,7.0,91.0,89.0,91.0,93.0,89.0,85.0,80.0,85.0,85.0,85.0
3117,Gilmore/Shellmont/East/Hamilton,4.0,4.0,0.0,3.0,5.0,90.0,86.0,90.0,90.0,90.0,84.0,77.0,84.0,82.0,86.0
3211,Downtown Vancouver,12.0,16.0,-4.0,1.0,7.0,94.0,84.0,94.0,99.0,85.0,85.0,68.0,85.0,88.0,80.0
3212,West End,9.0,16.0,-7.0,3.0,9.0,93.0,81.0,93.0,97.0,87.0,85.0,71.0,86.0,88.0,82.0
3213,Fairview,7.0,8.0,-1.0,2.0,4.0,93.0,91.0,93.0,95.0,92.0,88.0,77.0,88.0,88.0,88.0
3221,Downtown Eastside,30.0,39.0,-9.0,10.0,14.0,80.0,75.0,80.0,82.0,79.0,69.0,61.0,69.0,69.0,70.0
3222,Northeast False Creek,12.0,12.0,0.0,2.0,7.0,93.0,80.0,93.0,97.0,86.0,84.0,64.0,85.0,87.0,81.0
3223,Grandview-Woodland,15.0,21.0,-6.0,5.0,8.0,89.0,84.0,90.0,92.0,86.0,83.0,73.0,83.0,84.0,82.0
3231,Cedar Cottage,4.0,8.0,-4.0,2.0,4.0,94.0,87.0,94.0,96.0,91.0,87.0,80.0,88.0,88.0,87.0
3232,Hastings-Sunrise,9.0,8.0,1.0,4.0,8.0,93.0,91.0,93.0,95.0,92.0,87.0,84.0,88.0,87.0,88.0
3233,Renfrew-Collingwood,5.0,6.0,-1.0,3.0,4.0,95.0,92.0,96.0,99.0,91.0,89.0,83.0,89.0,90.0,88.0
3241,Shaughnessy/Arbutus Ridge/Kerrisdale,6.0,12.0,-6.0,2.0,5.0,87.0,88.0,87.0,88.0,87.0,82.0,81.0,82.0,80.0,83.0
3242,West Point Grey/Dunbar-Southlands,6.0,9.0,-3.0,2.0,3.0,91.0,92.0,91.0,91.0,90.0,85.0,85.0,85.0,82.0,88.0
3243,University of British Columbia,3.0,18.0,-15.0,0.0,1.0,96.0,91.0,96.0,100.0,85.0,83.0,80.0,83.0,84.0,80.0
3244,Kitsilano,7.0,11.0,-4.0,2.0,4.0,94.0,92.0,94.0,96.0,91.0,88.0,84.0,88.0,89.0,88.0
3251,Kensington,4.0,6.0,-2.0,2.0,3.0,94.0,93.0,94.0,96.0,91.0,88.0,86.0,88.0,89.0,87.0
3252,Mount Pleasant,7.0,9.0,-2.0,3.0,5.0,93.0,88.0,93.0,95.0,89.0,87.0,78.0,88.0,89.0,84.0
3253,South Cambie/Riley Park,7.0,8.0,-1.0,5.0,6.0,94.0,93.0,94.0,96.0,91.0,88.0,85.0,89.0,90.0,88.0
3261,Killarney,4.0,7.0,-3.0,2.0,3.0,92.0,89.0,92.0,94.0,91.0,86.0,81.0,87.0,86.0,87.0
3262,Oakridge/Marpole,6.0,5.0,1.0,2.0,5.0,89.0,89.0,89.0,92.0,85.0,82.0,79.0,82.0,84.0,81.0
3263,Sunset,6.0,9.0,-3.0,4.0,6.0,95.0,90.0,96.0,98.0,92.0,88.0,80.0,88.0,88.0,88.0
3264,Victoria-Fraserview,7.0,6.0,1.0,5.0,8.0,92.0,90.0,93.0,94.0,91.0,87.0,82.0,87.0,87.0,88.0
3311,North Vancouver City - East,6.0,5.0,1.0,3.0,4.0,92.0,90.0,92.0,92.0,91.0,86.0,82.0,86.0,85.0,88.0
3312,North Vancouver City - West,8.0,11.0,-3.0,3.0,7.0,91.0,94.0,91.0,92.0,90.0,85.0,76.0,85.0,85.0,86.0
3313,North Vancouver DM - Central,5.0,7.0,-2.0,2.0,3.0,93.0,93.0,93.0,92.0,93.0,88.0,86.0,89.0,86.0,91.0
3314,North Vancouver DM - East,6.0,10.0,-4.0,2.0,3.0,92.0,90.0,92.0,90.0,94.0,88.0,83.0,88.0,84.0,91.0
3315,North Vancouver DM - West,6.0,7.0,-1.0,2.0,4.0,94.0,94.0,93.0,94.0,93.0,88.0,85.0,88.0,87.0,90.0
3321,West Vancouver - Lower,6.0,10.0,-4.0,2.0,5.0,89.0,89.0,89.0,88.0,90.0,83.0,78.0,84.0,79.0,86.0
3322,West Vancouver - Upper,4.0,5.0,-1.0,1.0,3.0,87.0,89.0,87.0,84.0,89.0,81.0,77.0,81.0,76.0,85.0
3323,Bowen Island/Lions Bay,5.0,3.0,2.0,3.0,6.0,88.0,82.0,89.0,87.0,90.0,83.0,75.0,84.0,79.0,87.0
4111,Downtown Victoria/Vic West,30.0,18.0,12.0,17.0,21.0,92.0,86.0,92.0,93.0,91.0,83.0,72.0,84.0,83.0,85.0
4112,James Bay/Fairfield,10.0,3.0,7.0,6.0,7.0,93.0,90.0,93.0,93.0,94.0,88.0,80.0,88.0,86.0,90.0
4113,Oaklands/Fernwood,11.0,8.0,3.0,9.0,10.0,93.0,86.0,93.0,94.0,92.0,86.0,77.0,86.0,85.0,88.0
4114,Oak Bay,2.0,5.0,-3.0,2.0,2.0,96.0,99.0,95.0,93.0,96.0,91.0,89.0,91.0,86.0,94.0
4115,Gordon Head/Shelbourne,4.0,6.0,-2.0,2.0,2.0,96.0,94.0,96.0,98.0,95.0,90.0,82.0,90.0,89.0,92.0
4116,Quadra/Swan Lake,9.0,5.0,4.0,5.0,7.0,93.0,94.0,93.0,93.0,93.0,87.0,81.0,87.0,85.0,90.0
4117,Interurban/Tillicum,8.0,6.0,2.0,7.0,8.0,92.0,89.0,92.0,91.0,93.0,85.0,79.0,86.0,82.0,90.0
4118,View Royal,7.0,4.0,3.0,5.0,5.0,91.0,87.0,92.0,90.0,93.0,86.0,77.0,86.0,82.0,90.0
4119,Esquimalt,11.0,9.0,2.0,10.0,11.0,89.0,85.0,90.0,87.0,92.0,82.0,73.0,83.0,78.0,87.0
4121,Colwood,8.0,3.0,5.0,6.0,7.0,89.0,83.0,90.0,86.0,93.0,83.0,72.0,84.0,77.0,90.0
4122,Metchosin,0.0,7.0,-7.0,0.0,0.0,89.0,86.0,89.0,83.0,93.0,81.0,70.0,81.0,69.0,90.0
4123,Langford/Highlands,3.0,6.0,-3.0,2.0,2.0,91.0,89.0,91.0,90.0,93.0,83.0,75.0,84.0,80.0,89.0
4124,Sooke,5.0,2.0,3.0,5.0,5.0,86.0,82.0,86.0,80.0,91.0,78.0,68.0,79.0,69.0,87.0
4125,Juan de Fuca Coast,12.0,4.0,8.0,4.0,4.0,81.0,76.0,81.0,73.0,87.0,73.0,56.0,74.0,62.0,84.0
4131,Royal Oak/Cordova Bay/Prospect,6.0,3.0,3.0,5.0,6.0,94.0,95.0,94.0,92.0,95.0,90.0,86.0,90.0,84.0,93.0
4132,Central Saanich,1.0,5.0,-4.0,1.0,1.0,92.0,89.0,92.0,90.0,94.0,87.0,80.0,87.0,82.0,91.0
4133,North Saanich,10.0,6.0,4.0,8.0,10.0,93.0,90.0,93.0,88.0,95.0,88.0,78.0,89.0,80.0,93.0
4134,Sidney,7.0,6.0,1.0,7.0,9.0,94.0,92.0,94.0,92.0,95.0,90.0,85.0,90.0,84.0,93.0
4141,Salt Spring Island,8.0,9.0,-1.0,8.0,9.0,81.0,71.0,82.0,71.0,88.0,74.0,58.0,75.0,60.0,84.0
4142,Pender/Galiano/Saturna/Mayne,0.0,8.0,-8.0,0.0,0.0,93.0,87.0,93.0,90.0,94.0,89.0,75.0,89.0,82.0,91.0
4211,South Cowichan,17.0,20.0,-3.0,10.0,12.0,86.0,79.0,86.0,80.0,91.0,79.0,64.0,80.0,69.0,88.0
4212,Central Cowichan,15.0,22.0,-7.0,8.0,8.0,83.0,77.0,84.0,76.0,90.0,75.0,62.0,76.0,65.0,85.0
5101,Haida Gwaii South,0.0,0.0,0.0,3.0,4.0,88.0,82.0,88.0,85.0,91.0,80.0,67.0,81.0,75.0,86.0
5102,Haida Gwaii North,0.0,0.0,0.0,3.0,4.0,88.0,82.0,88.0,85.0,91.0,80.0,67.0,81.0,75.0,86.0
5121,Prince Rupert City Centre,8.0,2.0,6.0,10.0,11.0,86.0,75.0,87.0,83.0,90.0,75.0,56.0,77.0,70.0,85.0
5122,Prince Rupert Rural,8.0,2.0,6.0,10.0,11.0,86.0,75.0,87.0,83.0,90.0,75.0,56.0,77.0,70.0,85.0
5130,Upper Skeena,52.0,26.0,26.0,16.0,17.0,80.0,60.0,82.0,78.0,86.0,70.0,43.0,73.0,66.0,78.0
5141,Smithers Town Centre,58.0,82.0,-24.0,20.0,20.0,74.0,55.0,76.0,70.0,83.0,64.0,41.0,66.0,56.0,77.0
5142,Smithers Rural,58.0,82.0,-24.0,20.0,20.0,74.0,55.0,76.0,70.0,83.0,64.0,41.0,66.0,56.0,77.0
5143,Houston,58.0,82.0,-24.0,20.0,20.0,74.0,55.0,76.0,70.0,83.0,64.0,41.0,66.0,56.0,77.0
5150,Kitimat,15.0,5.0,10.0,16.0,18.0,96.0,68.0,99.0,99.0,99.0,81.0,48.0,84.0,78.0,90.0
5171,Terrace City Centre,18.0,11.0,7.0,15.0,16.0,81.0,66.0,83.0,78.0,88.0,71.0,50.0,73.0,65.0,81.0
5172,Terrace Rural,18.0,11.0,7.0,15.0,16.0,81.0,66.0,83.0,78.0,88.0,71.0,50.0,73.0,65.0,81.0
5180,Nisga'a,24.0,8.0,16.0,10.0,10.0,86.0,79.0,87.0,84.0,90.0,75.0,47.0,79.0,74.0,83.0
5211,Quesnel City Centre,47.0,31.0,16.0,24.0,25.0,73.0,58.0,75.0,66.0,82.0,63.0,44.0,65.0,51.0,76.0
5212,Quesnel Rural,47.0,31.0,16.0,24.0,25.0,73.0,58.0,75.0,66.0,82.0,63.0,44.0,65.0,51.0,76.0
5221,Burns Lake Town Centre,34.0,41.0,-7.0,18.0,18.0,72.0,49.0,74.0,67.0,80.0,64.0,36.0,66.0,56.0,75.0
5222,Burns Lake South,34.0,41.0,-7.0,18.0,18.0,72.0,49.0,74.0,67.0,80.0,64.0,36.0,66.0,56.0,75.0
5223,Burns Lake North,34.0,41.0,-7.0,18.0,18.0,72.0,49.0,74.0,67.0,80.0,64.0,36.0,66.0,56.0,75.0
5231,Vanderhoof,79.0,58.0,21.0,27.0,28.0,69.0,48.0,71.0,62.0,79.0,59.0,33.0,61.0,49.0,73.0
5232,Vanderhoof Rural,79.0,58.0,21.0,27.0,28.0,69.0,48.0,71.0,62.0,79.0,59.0,33.0,61.0,49.0,73.0
5233,Fort St. James North,79.0,58.0,21.0,27.0,28.0,69.0,48.0,71.0,62.0,79.0,59.0,33.0,61.0,49.0,73.0
5234,Fraser Lake,79.0,58.0,21.0,27.0,28.0,69.0,48.0,71.0,62.0,79.0,59.0,33.0,61.0,49.0,73.0
5241,Prince George City - North,36.0,33.0,3.0,20.0,22.0,81.0,69.0,82.0,78.0,87.0,71.0,56.0,73.0,64.0,82.0
5242,Prince George City - Central,36.0,33.0,3.0,20.0,22.0,81.0,69.0,82.0,78.0,87.0,71.0,56.0,73.0,64.0,82.0
5243,Prince George City - Southwest,36.0,33.0,3.0,20.0,22.0,81.0,69.0,82.0,78.0,87.0,71.0,56.0,73.0,64.0,82.0
5244,Prince George Southwest Rural,36.0,33.0,3.0,20.0,22.0,81.0,69.0,82.0,78.0,87.0,71.0,56.0,73.0,64.0,82.0
5245,Prince George North Fraser Rural,36.0,33.0,3.0,20.0,22.0,81.0,69.0,82.0,78.0,87.0,71.0,56.0,73.0,64.0,82.0
5246,McBride/Valemount,36.0,33.0,3.0,20.0,22.0,81.0,69.0,82.0,78.0,87.0,71.0,56.0,73.0,64.0,82.0
5247,Mackenzie,36.0,33.0,3.0,20.0,22.0,81.0,69.0,82.0,78.0,87.0,71.0,56.0,73.0,64.0,82.0
5311,Dawson Creek,33.0,33.0,0.0,23.0,24.0,60.0,37.0,62.0,53.0,74.0,50.0,25.0,52.0,40.0,67.0
5312,Chetwynd,33.0,33.0,0.0,23.0,24.0,60.0,37.0,62.0,53.0,74.0,50.0,25.0,52.0,40.0,67.0
5313,Tumbler Ridge,33.0,33.0,0.0,23.0,24.0,60.0,37.0,62.0,53.0,74.0,50.0,25.0,52.0,40.0,67.0
5314,Peace River South Rural,33.0,33.0,0.0,23.0,24.0,60.0,37.0,62.0,53.0,74.0,50.0,25.0,52.0,40.0,67.0
5321,Fort St John,31.0,26.0,5.0,18.0,24.0,62.0,39.0,64.0,58.0,75.0,51.0,28.0,54.0,45.0,68.0
5322,Hudson's Hope,31.0,26.0,5.0,18.0,24.0,62.0,39.0,64.0,58.0,75.0,51.0,28.0,54.0,45.0,68.0
5323,Peace River North Rural,31.0,26.0,5.0,18.0,24.0,62.0,39.0,64.0,58.0,75.0,51.0,28.0,54.0,45.0,68.0
5331,Fort Nelson Population Centre,39.0,67.0,-28.0,24.0,26.0,62.0,43.0,64.0,57.0,73.0,52.0,26.0,55.0,44.0,67.0
5332,Northern Boreal,39.0,67.0,-28.0,24.0,26.0,62.0,43.0,64.0,57.0,73.0,52.0,26.0,55.0,44.0,67.0
5110,Snow Country,0.0,13.0,-13.0,0.0,0.0,85.0,60.0,87.0,83.0,90.0,73.0,44.0,75.0,66.0,83.0
5160,Stikine,0.0,13.0,-13.0,0.0,0.0,85.0,60.0,87.0,83.0,90.0,73.0,44.0,75.0,66.0,83.0
5190,Telegraph Creek,0.0,13.0,-13.0,0.0,0.0,85.0,60.0,87.0,83.0,90.0,73.0,44.0,75.0,66.0,83.0
