CHSA_CD,CHSA_Name,CHSA_Title,LHA_CD,LHA_Name,LHA_Title,HSDA_CD,HSDA_ID,HSDA_Name,HSDA_Title,HA_CD,HA_ID,HA_Name,HA_Title,CHSA_UR_Class,CHSA_Pop2016,CHSA_AreaKm2, CHSA_Density ,CHSA_IR
1260,Grand Forks,1260 Grand Forks,126,Grand Forks,126 Grand Forks,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,6 Rural," 8,611 "," 2,692.0 ", 3.20 ,0.4215
1270,Kettle Valley,1270 Kettle Valley,127,Kettle Valley,127 Kettle Valley,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,6 Rural," 3,469 "," 4,347.3 ", 0.80 ,0.3712
1310,Southern Okanagan,1310 Southern Okanagan,131,Southern Okanagan,131 Southern Okanagan,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5 Rural Hub," 19,231 "," 1,304.3 ", 14.74 ,0.3241
1320,Penticton,1320 Penticton,132,Penticton,132 Penticton,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,3 Medium Urban," 41,799 "," 1,562.9 ", 26.75 ,0.2949
1330,Keremeos,1330 Keremeos,133,Keremeos,133 Keremeos,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,6 Rural," 5,101 "," 2,479.9 ", 2.06 ,0.3355
1340,Princeton,1340 Princeton,134,Princeton,134 Princeton,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5 Rural Hub," 4,781 "," 4,826.0 ", 0.99 ,0.3293
1350,Armstrong/Spallumcheen,1350 Armstrong/Spallumcheen,135,Armstrong/Spallumcheen,135 Armstrong/Spallumcheen,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5 Rural Hub," 10,220 ", 263.8 , 38.75 ,0.2870
1361,Vernon Centre/Coldstream,1361 Vernon Centre/Coldstream,136,Vernon,136 Vernon,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,3 Medium Urban," 53,266 ", 190.6 , 279.41 ,0.2716
1362,North Okanagan/Lumby,1362 North Okanagan/Lumby,136,Vernon,136 Vernon,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,6 Rural," 13,583 "," 5,394.9 ", 2.52 ,0.2917
1371,Central Okanagan Rural,1371 Central Okanagan Rural,137,Central Okanagan,137 Central Okanagan,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5 Rural Hub," 8,720 "," 2,324.4 ", 3.75 ,0.2770
1372,West Kelowna,1372 West Kelowna,137,Central Okanagan,137 Central Okanagan,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,2 Large Urban," 41,482 ", 127.4 , 325.63 ,0.2522
1373,Lake Country,1373 Lake Country,137,Central Okanagan,137 Central Okanagan,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,6 Rural," 12,922 ", 162.4 , 79.58 ,0.2834
1374,Glenmore,1374 Glenmore,137,Central Okanagan,137 Central Okanagan,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,2 Large Urban," 33,401 ", 125.7 , 265.68 ,0.2410
1375,Downtown Kelowna,1375 Downtown Kelowna,137,Central Okanagan,137 Central Okanagan,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,2 Large Urban," 38,661 ", 38.2 ," 1,012.86 ",0.2372
1376,Rutland,1376 Rutland,137,Central Okanagan,137 Central Okanagan,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,2 Large Urban," 34,796 ", 42.0 , 828.48 ,0.2372
1377,Okanagan Mission,1377 Okanagan Mission,137,Central Okanagan,137 Central Okanagan,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,2 Large Urban," 24,900 ", 90.8 , 274.38 ,0.2372
1380,Summerland,1380 Summerland,138,Summerland,138 Summerland,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5 Rural Hub," 12,110 ", 615.7 , 19.67 ,0.2903
1390,Enderby,1390 Enderby,139,Enderby,139 Enderby,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,6 Rural," 7,285 "," 1,866.0 ", 3.90 ,0.2947
1410,Revelstoke,1410 Revelstoke,141,Revelstoke,141 Revelstoke,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,5 Rural Hub," 8,085 "," 9,320.3 ", 0.87 ,0.4000
1420,Salmon Arm,1420 Salmon Arm,142,Salmon Arm,142 Salmon Arm,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,4 Small Urban," 33,648 "," 3,156.0 ", 10.66 ,0.3105
1431,Kamloops Centre North,1431 Kamloops Centre North,143,Kamloops,143 Kamloops,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,3 Medium Urban," 44,714 ", 252.5 , 177.10 ,0.2749
1432,Kamloops Centre South,1432 Kamloops Centre South,143,Kamloops,143 Kamloops,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,3 Medium Urban," 48,587 ", 204.5 , 237.60 ,0.2754
1433,Lower Thompson,1433 Lower Thompson,143,Kamloops,143 Kamloops,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural," 19,986 "," 16,047.8 ", 1.25 ,0.3341
1440,100 Mile House,1440 100 Mile House,144,100 Mile House,144 100 Mile House,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural," 14,112 "," 10,958.6 ", 1.29 ,0.4584
1450,North Thompson,1450 North Thompson,145,North Thompson,145 North Thompson,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural," 4,050 "," 12,521.1 ", 0.32 ,0.4195
1461,West Cariboo,1461 West Cariboo,146,Cariboo/Chilcotin,146 Cariboo/Chilcotin,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,7 Remote," 2,650 "," 32,371.4 ", 0.08 ,0.5444
1462,Williams Lake/East Cariboo,1462 Williams Lake/East Cariboo,146,Cariboo/Chilcotin,146 Cariboo/Chilcotin,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural," 22,165 "," 12,026.7 ", 1.84 ,0.4302
1470,Lillooet,1470 Lillooet,147,Lillooet,147 Lillooet,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural," 4,012 "," 7,422.4 ", 0.54 ,0.4837
1480,South Cariboo,1480 South Cariboo,148,South Cariboo,148 South Cariboo,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural," 6,548 "," 9,317.4 ", 0.70 ,0.3745
1490,Merritt,1490 Merritt,149,Merritt,149 Merritt,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,6 Rural," 10,855 "," 6,557.6 ", 1.66 ,0.2880
2110,Hope,2110 Hope,211,Hope,211 Hope,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,5 Rural Hub," 8,129 "," 5,292.5 ", 1.54 ,0.1805
2121,South Chilliwack,2121 South Chilliwack,212,Chilliwack,212 Chilliwack,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,3 Medium Urban," 51,241 "," 1,143.9 ", 44.79 ,0.1539
2122,North Chilliwack,2122 North Chilliwack,212,Chilliwack,212 Chilliwack,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,3 Medium Urban," 41,936 ", 164.6 , 254.78 ,0.1529
2131,Central Abbotsford,2131 Central Abbotsford,213,Abbotsford,213 Abbotsford,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,2 Large Urban," 22,754 ", 8.8 ," 2,582.75 ",0.1315
2132,East Abbotsford,2132 East Abbotsford,213,Abbotsford,213 Abbotsford,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,2 Large Urban," 35,584 ", 83.2 , 427.95 ,0.1315
2133,West Abbotsford,2133 West Abbotsford,213,Abbotsford,213 Abbotsford,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,2 Large Urban," 58,511 ", 20.2 ," 2,900.89 ",0.1315
2134,Abbotsford Rural,2134 Abbotsford Rural,213,Abbotsford,213 Abbotsford,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,6 Rural," 24,836 ", 299.7 , 82.86 ,0.1315
2141,South Mission,2141 South Mission,214,Mission,214 Mission,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,3 Medium Urban," 26,303 ", 28.7 , 917.44 ,0.1510
2142,North Mission,2142 North Mission,214,Mission,214 Mission,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,6 Rural," 16,854 "," 1,425.9 ", 11.82 ,0.1542
2150,Agassiz/Harrison,2150 Agassiz/Harrison,215,Agassiz/Harrison,215 Agassiz/Harrison,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,5 Rural Hub," 9,696 "," 4,111.9 ", 2.36 ,0.1786
2210,New Westminster,2210 New Westminster,221,New Westminster,221 New Westminster,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 70,996 ", 18.6 ," 3,819.04 ",0.0654
2221,Burnaby Northwest,2221 Burnaby Northwest,222,Burnaby,222 Burnaby,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 47,161 ", 16.2 ," 2,911.17 ",0.0655
2222,Burnaby Northeast,2222 Burnaby Northeast,222,Burnaby,222 Burnaby,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 45,434 ", 29.8 ," 1,522.59 ",0.0655
2223,Burnaby Southwest,2223 Burnaby Southwest,222,Burnaby,222 Burnaby,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 81,414 ", 31.0 ," 2,623.72 ",0.0655
2224,Burnaby Southeast,2224 Burnaby Southeast,222,Burnaby,222 Burnaby,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 58,746 ", 14.9 ," 3,945.33 ",0.0655
2231,Haney,2231 Haney,223,Maple Ridge/Pitt Meadows,223 Maple Ridge/Pitt Meadows,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 30,824 ", 13.5 ," 2,290.04 ",0.1188
2232,Pitt Meadows,2232 Pitt Meadows,223,Maple Ridge/Pitt Meadows,223 Maple Ridge/Pitt Meadows,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 18,835 ", 96.4 , 195.38 ,0.1099
2233,Maple Ridge Rural,2233 Maple Ridge Rural,223,Maple Ridge/Pitt Meadows,223 Maple Ridge/Pitt Meadows,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 51,442 "," 1,350.6 ", 38.09 ,0.1188
2241,North Coquitlam,2241 North Coquitlam,224,Tri-Cities,224 Tri-Cities,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 40,842 ", 606.6 , 67.33 ,0.0989
2242,Southwest Coquitlam,2242 Southwest Coquitlam,224,Tri-Cities,224 Tri-Cities,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 70,406 ", 24.6 ," 2,858.55 ",0.0989
2243,Southeast Coquitlam,2243 Southeast Coquitlam,224,Tri-Cities,224 Tri-Cities,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 28,129 ", 18.9 ," 1,492.25 ",0.0989
2244,Port Coquitlam,2244 Port Coquitlam,224,Tri-Cities,224 Tri-Cities,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 58,612 ", 34.5 ," 1,696.93 ",0.0987
2245,Port Moody/Anmore/Belcarra,2245 Port Moody/Anmore/Belcarra,224,Tri-Cities,224 Tri-Cities,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 36,404 ", 61.1 , 595.42 ,0.1010
2311,City of Langley,2311 City of Langley,231,Langley,231 Langley,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 25,888 ", 10.2 ," 2,533.07 ",0.1246
2312,Walnut Grove/Fort Langley,2312 Walnut Grove/Fort Langley,231,Langley,231 Langley,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 29,587 ", 43.6 , 678.76 ,0.1243
2313,Willoughby,2313 Willoughby,231,Langley,231 Langley,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 31,567 ", 21.9 ," 1,440.76 ",0.1243
2314,Brookswood/Murrayville,2314 Brookswood/Murrayville,231,Langley,231 Langley,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 22,090 ", 23.5 , 942.00 ,0.1243
2315,Aldergrove/Otter,2315 Aldergrove/Otter,231,Langley,231 Langley,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,4 Small Urban," 13,204 ", 16.4 , 805.12 ,0.1243
2316,North Langley Township,2316 North Langley Township,231,Langley,231 Langley,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,6 Rural," 12,653 ", 109.7 , 115.34 ,0.1243
2317,South Langley Township,2317 South Langley Township,231,Langley,231 Langley,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,6 Rural," 8,789 ", 102.1 , 86.09 ,0.1249
2321,North Delta,2321 North Delta,232,Delta,232 Delta,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 56,017 ", 21.1 ," 2,654.83 ",0.1085
2322,Ladner,2322 Ladner,232,Delta,232 Delta,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,4 Small Urban," 24,822 ", 158.6 , 156.56 ,0.1085
2323,Tsawwassen,2323 Tsawwassen,232,Delta,232 Delta,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,4 Small Urban," 22,225 ", 20.3 ," 1,093.75 ",0.1088
2331,Whalley,2331 Whalley,233,Surrey,233 Surrey,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 53,402 ", 22.3 ," 2,390.42 ",0.0833
2332,North Surrey,2332 North Surrey,233,Surrey,233 Surrey,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 51,161 ", 18.6 ," 2,744.69 ",0.0833
2333,Cloverdale,2333 Cloverdale,233,Surrey,233 Surrey,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 69,963 ", 71.5 , 978.78 ,0.0833
2334,Panorama,2334 Panorama,233,Surrey,233 Surrey,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 45,391 ", 39.4 ," 1,152.06 ",0.0833
2335,East Newton,2335 East Newton,233,Surrey,233 Surrey,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 62,748 ", 21.9 ," 2,865.21 ",0.0833
2336,Fleetwood,2336 Fleetwood,233,Surrey,233 Surrey,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 58,701 ", 15.8 ," 3,708.21 ",0.0833
2337,Guildford,2337 Guildford,233,Surrey,233 Surrey,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 60,538 ", 53.0 ," 1,142.23 ",0.0834
2338,West Newton,2338 West Newton,233,Surrey,233 Surrey,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan," 41,463 ", 9.8 ," 4,226.61 ",0.0833
2341,South Surrey,2341 South Surrey,234,South Surrey/White Rock,234 South Surrey/White Rock,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,3 Medium Urban," 74,816 ", 81.3 , 920.59 ,0.0833
2342,White Rock,2342 White Rock,234,South Surrey/White Rock,234 South Surrey/White Rock,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,3 Medium Urban," 19,952 ", 5.1 ," 3,896.88 ",0.1071
3111,Richmond City Centre,3111 Richmond City Centre,311,Richmond,311 Richmond,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 54,587 ", 9.8 ," 5,570.10 ",0.0981
3112,Blundell,3112 Blundell,311,Richmond,311 Richmond,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 17,729 ", 4.6 ," 3,854.13 ",0.0981
3113,Broadmoor,3113 Broadmoor,311,Richmond,311 Richmond,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 23,478 ", 6.0 ," 3,900.00 ",0.0981
3114,Thompson/Seafair,3114 Thompson/Seafair,311,Richmond,311 Richmond,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 32,171 ", 30.1 ," 1,069.87 ",0.0981
3115,Steveston,3115 Steveston,311,Richmond,311 Richmond,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 24,774 ", 7.7 ," 3,217.40 ",0.0981
3116,East and West Cambie/Bridgeport,3116 East and West Cambie/Bridgeport,311,Richmond,311 Richmond,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 24,621 ", 18.2 ," 1,354.29 ",0.0981
3117,Gilmore/Shellmont/East/Hamilton,3117 Gilmore/Shellmont/East/Hamilton,311,Richmond,311 Richmond,31,31 RICH,Richmond,31 Richmond,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 20,949 ", 75.4 , 278.02 ,0.0981
3211,Downtown Vancouver,3211 Downtown Vancouver,321,Vancouver - City Centre,321 Vancouver - City Centre,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 41,934 ", 2.2 ," 18,804.48 ",0.1203
3212,West End,3212 West End,321,Vancouver - City Centre,321 Vancouver - City Centre,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 47,203 ", 6.1 ," 7,763.65 ",0.1203
3213,Fairview,3213 Fairview,321,Vancouver - City Centre,321 Vancouver - City Centre,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 32,904 ", 3.3 ," 10,062.39 ",0.1203
3221,Downtown Eastside,3221 Downtown Eastside,322,Vancouver - Centre North,322 Vancouver - Centre North,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 19,960 ", 3.5 ," 5,686.61 ",0.1203
3222,Northeast False Creek,3222 Northeast False Creek,322,Vancouver - Centre North,322 Vancouver - Centre North,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 12,392 ", 0.9 ," 13,469.57 ",0.1203
3223,Grandview-Woodland,3223 Grandview-Woodland,322,Vancouver - Centre North,322 Vancouver - Centre North,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 29,180 ", 4.6 ," 6,399.12 ",0.1203
3231,Cedar Cottage,3231 Cedar Cottage,323,Vancouver - Northeast,323 Vancouver - Northeast,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 18,027 ", 3.1 ," 5,910.49 ",0.1203
3232,Hastings-Sunrise,3232 Hastings-Sunrise,323,Vancouver - Northeast,323 Vancouver - Northeast,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 34,575 ", 8.0 ," 4,349.06 ",0.1203
3233,Renfrew-Collingwood,3233 Renfrew-Collingwood,323,Vancouver - Northeast,323 Vancouver - Northeast,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 51,292 ", 8.1 ," 6,340.17 ",0.1203
3241,Shaughnessy/Arbutus Ridge/Kerrisdale,3241 Shaughnessy/Arbutus Ridge/Kerrisdale,324,Vancouver - Westside,324 Vancouver - Westside,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 37,993 ", 15.8 ," 2,407.67 ",0.1203
3242,West Point Grey/Dunbar-Southlands,3242 West Point Grey/Dunbar-Southlands,324,Vancouver - Westside,324 Vancouver - Westside,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 34,483 ", 12.5 ," 2,758.64 ",0.1203
3243,University of British Columbia,3243 University of British Columbia,324,Vancouver - Westside,324 Vancouver - Westside,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 15,890 ", 14.6 ," 1,089.10 ",0.1295
3244,Kitsilano,3244 Kitsilano,324,Vancouver - Westside,324 Vancouver - Westside,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 42,812 ", 5.5 ," 7,784.00 ",0.1203
3251,Kensington,3251 Kensington,325,Vancouver - Midtown,325 Vancouver - Midtown,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 31,755 ", 4.3 ," 7,436.77 ",0.1203
3252,Mount Pleasant,3252 Mount Pleasant,325,Vancouver - Midtown,325 Vancouver - Midtown,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 32,807 ", 4.5 ," 7,339.37 ",0.1203
3253,South Cambie/Riley Park,3253 South Cambie/Riley Park,325,Vancouver - Midtown,325 Vancouver - Midtown,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 31,246 ", 7.1 ," 4,382.33 ",0.1203
3261,Killarney,3261 Killarney,326,Vancouver - South,326 Vancouver - South,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 29,561 ", 7.0 ," 4,253.38 ",0.1203
3262,Oakridge/Marpole,3262 Oakridge/Marpole,326,Vancouver - South,326 Vancouver - South,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 37,453 ", 10.0 ," 3,734.10 ",0.1203
3263,Sunset,3263 Sunset,326,Vancouver - South,326 Vancouver - South,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 36,496 ", 6.4 ," 5,747.40 ",0.1203
3264,Victoria-Fraserview,3264 Victoria-Fraserview,326,Vancouver - South,326 Vancouver - South,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan," 31,065 ", 5.4 ," 5,731.55 ",0.1203
