header,Meaning
situational_vulnerability,Situational vulnerability
ethnocultural_composition,Ethno-cultural composition
economic_dependency,Economic dependency
residential_instability,Residential instability
proportion_has_GP_practitioner_0_19,Proportion of clients with attached GP practitioner status of Y (attached) stratified by CHSA and Age_group 0 to 19 years
proportion_has_GP_practice_0_19,Proportion of clients with attached GP practice status of Y (attached) stratified by CHSA and Age_group 0 to 19 years
proportion_has_GP_practitioner_f,Proportion of clients with attached GP practitioner status of Y (attached) stratified by CHSA and sex (female)
proportion_has_GP_practice_f,Proportion of clients with attached GP practice status of Y (attached) stratified by CHSA and sex (female)
proportion_has_GP_practitioner,Proportion of clients with attached GP practitioner status of Y (attached) stratified by CHSA level
proportion_has_GP_practice,Proportion of clients with attached GP practice status of Y (attached) stratified by CHSA level
proportion_has_GP_practitioner_20_64,Proportion of clients with attached GP practitioner status of Y (attached) stratified by CHSA and Age_group 20 to 64 year
proportion_has_GP_practice_20_64,Proportion of clients with attached GP practice status of Y (attached) stratified by CHSA and Age_group 20 to 64 year
proportion_has_GP_practitioner_65,Proportion of clients with attached GP practitioner status of Y (attached) stratified by CHSA and Age_group 65 years and
proportion_has_GP_practice_65,Proportion of clients with attached GP practice status of Y (attached) stratified by CHSA and Age_group 65 years and
proportion_has_GP_practitioner_m,Proportion of clients with attached GP practitioner status of Y (attached) stratified by CHSA and sex (male)
proportion_has_GP_practice_m,Proportion of clients with attached GP practice status of Y (attached) stratified by CHSA and sex (male)
cancer_incidence,Incidence count of All Cancers
pop_at_risk_cancer,Population at risk for All Cancers
cancer_incidence_per_100000,Crude incidence rate of All Cancers(per 100 000)
mortality_count_cancer,Mortality count of All Cancers
cancer_mortality_per_100000,Crude mortality rate of All Cancers(per 100 000)
colorectal_cancer_incidence,Incidence count of Colorectal Cancer
pop_at_risk_colorectal_cancer,Population at risk for Colorectal Cancer
colorectal_cancer_incidence_per_100000,Crude incidence rate of Colorectal Cancer(per 100 000)
mortality_count_colorectal_cancer,Mortality count of Colorectal Cancer
colorectal_cancer_mortality_per_1000000,Crude mortality rate of Colorectal Cancer(per 100 000)
breast_cancer_incidence,Incidence count of Female Breast Cancer
pop_at_risk_breast_cancer,Population at risk for Female Breast Cancer
breast_cancer_incidence_per_100000,Crude incidence rate of Female Breast Cancer(per 100 000)
mortality_count_breast_cancer,Mortality count of Female Breast Cancer
breast_cancer_mortality_per_1000000,Crude mortality rate of Female Breast Cancer(per 100 000)
myocardial_infarction_incidence_per_1000,Acute Myocardial Infarction (Age 20+) crude incidence rate per 1000 population
myocardial_infarction_prevalence_per_100,Acute Myocardial Infarction (Age 20+) crude prevalence rate per 100 population
myocardial_infarction_age_standardized_incidence_per_1000,Acute Myocardial Infarction (Age 20+) age-standardized incidence rate per 1000 population
myocardial_infarction_age_standardized_prevalence_per_100,Acute Myocardial Infarction (Age 20+) age-standardized prevalence rate per 100 population
dimentia_incidence_per_1000,Alzheimer's Disease and Other Dementia (Age 40+) crude incidence rate per 1000 population
dimentia_prevalence_per_100,Alzheimer's Disease and Other Dementia (Age 40+) crude prevalence rate per 100 population
dimentia_age_standardized_incidence_per_1000,Alzheimer's Disease and Other Dementia (Age 40+) age-standardized incidence rate per 1000 population
dimentia_age_standardized_prevalence_per_100,Alzheimer's Disease and Other Dementia (Age 40+) age-standardized prevalence rate per 100 population
asthma_incidence_per_1000,Asthma (Age 1+) crude incidence rate per 1000 population
asthma_prevalence_per_100,Asthma (Age 1+) crude prevalence rate per 100 population
asthma_age_standardized_incidence_per_1000,Asthma (Age 1+) age-standardized incidence rate per 1000 population
asthma_age_standardized_prevalence_per_100,Asthma (Age 1+) age-standardized prevalence rate per 100 population
kidney_disease_incidence_per_1000,Chronic Kidney Disease (Age 1+) crude incidence rate per 1000 population
kidney_disease_prevalence_per_100,Chronic Kidney Disease (Age 1+) crude prevalence rate per 100 population
kidney_disease_age_standardized_incidence_per_1000,Chronic Kidney Disease (Age 1+) age-standardized incidence rate per 1000 population
kidney_disease_age_standardized_prevalence_per_100,Chronic Kidney Disease (Age 1+) age-standardized prevalence rate per 100 population
COPD_incidence_per_1000,Chronic Obstructive Pulmonary Disease (Age 35+) crude incidence rate per 1000 population
COPD_prevalence_per_100,Chronic Obstructive Pulmonary Disease (Age 35+) crude prevalence rate per 100 population
COPD_age_standardized_incidence_per_1000,Chronic Obstructive Pulmonary Disease (Age 35+) age-standardized incidence rate per 1000 population
COPD_age_standardized_prevalence_per_100,Chronic Obstructive Pulmonary Disease (Age 35+) age-standardized prevalence rate per 100 population
depression_incidence_per_1000,Depression (Age 1+) crude incidence rate per 1000 population
depression_prevalence_per_100,Depression (Age 1+) crude prevalence rate per 100 population
depression_age_standardized_incidence_per_1000,Depression (Age 1+) age-standardized incidence rate per 1000 population
depression_age_standardized_prevalence_per_100,Depression (Age 1+) age-standardized prevalence rate per 100 population
diabetes_incidence_per_1000,Diabetes (Age 1+) crude incidence rate per 1000 population
diabetes_prevalence_per_100,Diabetes (Age 1+) crude prevalence rate per 100 population
diabetes_age_standardized_incidence_per_1000,Diabetes (Age 1+) age-standardized incidence rate per 1000 population
diabetes_age_standardized_prevalence_per_100,Diabetes (Age 1+) age-standardized prevalence rate per 100 population
epilepsy_incidence_per_1000,Epilepsy (Age 1+) crude incidence rate per 1000 population
epilepsy_prevalence_per_100,Epilepsy (Age 1+) crude prevalence rate per 100 population
epilepsy_age_standardized_incidence_per_1000,Epilepsy (Age 1+) age-standardized incidence rate per 1000 population
epilepsy_age_standardized_prevalence_per_100,Epilepsy (Age 1+) age-standardized prevalence rate per 100 population
gout_incidence_per_1000,Gout (Age 20+) crude incidence rate per 1000 population
gout_prevalence_per_100,Gout (Age 20+) crude prevalence rate per 100 population
gout_age_standardized_incidence_per_1000,Gout (Age 20+) age-standardized incidence rate per 1000 population
gout_age_standardized_prevalence_per_100,Gout (Age 20+) age-standardized prevalence rate per 100 population
heart_failure_incidence_per_1000,Heart Failure (Age 1+) crude incidence rate per 1000 population
heart_failure_prevalence_per_100,Heart Failure (Age 1+) crude prevalence rate per 100 population
heart_failure_age_standardized_incidence_per_1000,Heart Failure (Age 1+) age-standardized incidence rate per 1000 population
heart_failure_age_standardized_prevalence_per_100,Heart Failure (Age 1+) age-standardized prevalence rate per 100 population
stroke_incidence_per_1000,Hospitalized Stroke (Age 20+) crude incidence rate per 1000 population
stroke_prevalence_per_100,Hospitalized Stroke (Age 20+) crude prevalence rate per 100 population
stroke_age_standardized_incidence_per_1000,Hospitalized Stroke (Age 20+) age-standardized incidence rate per 1000 population
stroke_age_standardized_prevalence_per_100,Hospitalized Stroke (Age 20+) age-standardized prevalence rate per 100 population
hypertension_incidence_per_1000,Hypertension (Age 20+) crude incidence rate per 1000 population
hypertension_prevalence_per_100,Hypertension (Age 20+) crude prevalence rate per 100 population
hypertension_age_standardized_incidence_per_1000,Hypertension (Age 20+) age-standardized incidence rate per 1000 population
hypertension_age_standardized_prevalence_per_100,Hypertension (Age 20+) age-standardized prevalence rate per 100 population
ischemic_hd_incidence_per_1000,Ischemic Heart Disease (Age 20+) crude incidence rate per 1000 population
ischemic_hd_prevalence_per_100,Ischemic Heart Disease (Age 20+) crude prevalence rate per 100 population
ischemic_hd_age_standardized_incidence_per_1000,Ischemic Heart Disease (Age 20+) age-standardized incidence rate per 1000 population
ischemic_hd_age_standardized_prevalence_per_100,Ischemic Heart Disease (Age 20+) age-standardized prevalence rate per 100 population
mood_anxiety_incidence_per_1000,Mood & Anxiety Disorders (Age 1+) crude incidence rate per 1000 population
mood_anxiety_prevalence_per_100,Mood & Anxiety Disorders (Age 1+) crude prevalence rate per 100 population
mood_anxiety_age_standardized_incidence_per_1000,Mood & Anxiety Disorders (Age 1+) age-standardized incidence rate per 1000 population
mood_anxiety_age_standardized_prevalence_per_100,Mood & Anxiety Disorders (Age 1+) age-standardized prevalence rate per 100 population
MS_incidence_per_1000,Multiple Sclerosis (Age 20+) crude incidence rate per 1000 population
MS_prevalence_per_100,Multiple Sclerosis (Age 20+) crude prevalence rate per 100 population
MS_age_standardized_incidence_per_1000,Multiple Sclerosis (Age 20+) age-standardized incidence rate per 1000 population
MS_age_standardized_prevalence_per_100,Multiple Sclerosis (Age 20+) age-standardized prevalence rate per 100 population
osteoarthritis_incidence_per_1000,Osteoarthritis (Age 1+) crude incidence rate per 1000 population
osteoarthritis_prevalence_per_100,Osteoarthritis (Age 1+) crude prevalence rate per 100 population
osteoarthritis_age_standardized_incidence_per_1000,Osteoarthritis (Age 1+) age-standardized incidence rate per 1000 population
osteoarthritis_age_standardized_prevalence_per_100,Osteoarthritis (Age 1+) age-standardized prevalence rate per 100 population
osteoporosis_incidence_per_1000,Osteoporosis (Age 50+) crude incidence rate per 1000 population
osteoporosis_prevalence_per_100,Osteoporosis (Age 50+) crude prevalence rate per 100 population
osteoporosis_age_standardized_incidence_per_1000,Osteoporosis (Age 50+) age-standardized incidence rate per 1000 population
osteoporosis_age_standardized_prevalence_per_100,Osteoporosis (Age 50+) age-standardized prevalence rate per 100 population
parkinsons_incidence_per_1000,Parkinsonism (Age 40+) crude incidence rate per 1000 population
parkinsons_prevalence_per_100,Parkinsonism (Age 40+) crude prevalence rate per 100 population
parkinsons_age_standardized_incidence_per_1000,Parkinsonism (Age 40+) age-standardized incidence rate per 1000 population
parkinsons_age_standardized_prevalence_per_100,Parkinsonism (Age 40+) age-standardized prevalence rate per 100 population
rheumatoid_arthritis_incidence_per_1000,Rheumatoid Arthritis (Age 1+) crude incidence rate per 1000 population
rheumatoid_arthritis_prevalence_per_100,Rheumatoid Arthritis (Age 1+) crude prevalence rate per 100 population
rheumatoid_arthritis_age_standardized_incidence_per_1000,Rheumatoid Arthritis (Age 1+) age-standardized incidence rate per 1000 population
rheumatoid_arthritis_age_standardized_prevalence_per_100,Rheumatoid Arthritis (Age 1+) age-standardized prevalence rate per 100 population
schizophrenia_incidence_per_1000,Schizophrenia and Delusional Disorders (Age 10+) crude incidence rate per 1000 population
schizophrenia_prevalence_per_100,Schizophrenia and Delusional Disorders (Age 10+) crude prevalence rate per 100 population
schizophrenia_age_standardized_incidence_per_1000,Schizophrenia and Delusional Disorders (Age 10+) age-standardized incidence rate per 1000 population
schizophrenia_age_standardized_prevalence_per_100,Schizophrenia and Delusional Disorders (Age 10+) age-standardized prevalence rate per 100 population
hsa,
subregion,
proportion_has_GP_practitioner,
proportion_has_GP_practice,
